key,area_name,state,latitude,longitude,accuracy
IN/560001,Rajbhavan,Karnataka,12.2667,76.6833,
IN/560002,Chamarajendrapeta,Karnataka,12.2667,76.6833,
IN/560003,Extension,Karnataka,12.2667,76.6833,4
IN/560004,Lalbagh West,Karnataka,12.2667,76.6833,
IN/560005,Fraser Town,Karnataka,12.2667,76.6833,
IN/560007,Agaram,Karnataka,12.2667,76.6833,
IN/560008,Ulsoor Bazar,Karnataka,12.2667,76.6833,
IN/560009,N S Bureau,Karnataka,12.2667,76.6833,
IN/560010,Rajajinagar West,Karnataka,13.0333,77.55,
IN/560011,Jayanagar (Bangalore),Karnataka,13.0333,77.55,
IN/560013,Jalahalli,Karnataka,13.0333,77.55,4
IN/560014,Jalahalli East,Karnataka,13.0333,77.55,
IN/560015,Jalahalli West,Karnataka,13.0333,77.55,
IN/560016,Ramamurthynagar,Karnataka,13.0333,77.55,
IN/560017,Vimanapura,Karnataka,13.0333,77.55,
IN/560018,Chamrapet West,Karnataka,13.0333,77.55,
IN/560020,Palace Guttahalli,Karnataka,13.0499,77.1594,
IN/560021,Ramachandra Puram,Karnataka,13.0499,77.1594,
IN/560023,Magadi Road,Karnataka,13.0499,77.1594,
IN/560024,Extn Iistage,Karnataka,13.0499,77.1594,
IN/560025,Langford Town,Karnataka,13.0499,77.1594,
IN/560026,Deepanjal Nagar,Karnataka,13.0499,77.1594,
IN/560027,Sampangiramnagar,Karnataka,13.0499,77.1594,
IN/560029,S D S Sanitorim,Karnataka,13.0499,77.1594,
IN/560030,Adugodi,Karnataka,13.0499,77.1594,
IN/560032,P&T Colony,Karnataka,13.0499,77.1594,
IN/560035,Carmelaram,Karnataka,13.0499,77.1594,
IN/560037,Ramesh Nagar,Karnataka,13.0499,77.1594,
IN/560038,Indira Nagar,Karnataka,13.0499,77.1594,
IN/560040,Vijayanagar,Karnataka,13.0499,77.1594,
IN/560041,Jayanagar T Block,Karnataka,13.0499,77.1594,
IN/560042,K Kamraj Road,Karnataka,13.0499,77.1594,
IN/560045,Venkateshpura,Karnataka,13.0499,77.1594,
IN/560046,Williams Towm,Karnataka,13.0499,77.1594,
IN/560047,Ookadapalyam,Karnataka,13.0499,77.1594,
IN/560048,Mahadevapura,Karnataka,13.0499,77.1594,
IN/560049,Virgonagar,Karnataka,13.0499,77.1594,
IN/560050,Dasarahalli,Karnataka,13.0499,77.1594,
IN/560051,Old Cemetry Road,Karnataka,13.0499,77.1594,
IN/560052,Vasantanagar,Karnataka,13.0499,77.1594,
IN/560057,Dasarahalli,Karnataka,13.0499,77.1594,
IN/560058,Madivala,Karnataka,13.0499,77.1594,
IN/560059,R V Niketan,Karnataka,13.0499,77.1594,
IN/560063,Yelahanka,Karnataka,13.1075,77.6003,4
IN/560064,Yelabanka,Karnataka,13.1075,77.6003,
IN/560065,Vigyana Kendra,Karnataka,13.1075,77.6003,
IN/560066,White Field,Karnataka,13.1075,77.6003,
IN/560067,Kadugodi,Karnataka,13.1075,77.6003,
IN/560069,Jayanagar East,Karnataka,13.1075,77.6003,
IN/560070,Padmanabhanagar,Karnataka,13.0499,77.1594,
IN/560072,Nagarbhavi,Karnataka,13.0499,77.1594,
IN/560073,Nagasandra (Bangalore),Karnataka,13.0499,77.1594,
IN/560078,Jayaprakash Naryan Nagar,Karnataka,13.0499,77.1594,
IN/560079,Agrahara Dasarahalli,Karnataka,13.0499,77.1594,
IN/560080,Palace Orchards,Karnataka,13.7919,76.8042,
IN/560081,Tavarekere,Karnataka,13.7919,76.8042,4
IN/560082,Yediyur,Karnataka,13.7919,76.8042,
IN/560084,Lingarajapuram,Karnataka,13.7919,76.8042,
IN/560086,Mahalakshmipuram Layout,Karnataka,13.7919,76.8042,
IN/560087,Varthur,Karnataka,13.7919,76.8042,
IN/560097,Vidyaranyapura,Karnataka,13.0499,77.1594,
